iter	Passed	Remaining
0	135	135457
1	136	68088
2	137	45793
3	138	34560
4	146	29113
5	147	24426
6	148	21027
7	148	18475
8	149	16488
9	150	14903
10	151	13606
11	152	12519
12	153	11632
13	158	11194
14	159	10498
15	160	9885
16	161	9342
17	162	8858
18	163	8455
19	164	8060
20	165	7705
21	166	7382
22	166	7083
23	167	6811
24	169	6594
25	172	6478
26	173	6263
27	174	6065
28	175	5875
29	176	5700
30	177	5533
31	177	5380
32	178	5237
33	180	5129
34	181	5005
35	183	4915
36	184	4804
37	185	4697
38	186	4591
39	187	4494
40	188	4400
41	188	4309
42	189	4222
43	190	4138
44	191	4058
45	192	3982
46	192	3908
47	194	3867
48	196	3823
49	199	3795
50	200	3737
51	201	3676
52	202	3617
53	203	3560
54	203	3505
55	204	3452
56	205	3399
57	206	3349
58	210	3359
59	212	3324
60	213	3280
61	213	3236
62	214	3194
63	215	3153
64	216	3111
65	217	3073
66	217	3034
67	218	2996
68	219	2959
69	220	2923
70	220	2889
71	222	2868
72	227	2894
73	229	2875
74	230	2843
75	231	2815
76	232	2784
77	233	2755
78	233	2726
79	234	2699
80	235	2672
81	237	2655
82	237	2628
83	240	2618
84	242	2608
85	243	2583
86	244	2561
87	245	2541
88	246	2518
89	246	2495
90	247	2472
91	248	2451
92	249	2432
93	250	2412
94	251	2392
95	253	2387
96	259	2411
97	260	2400
98	261	2382
99	262	2363
100	263	2345
101	264	2326
102	265	2308
103	267	2300
104	269	2301
105	271	2287
106	272	2271
107	272	2254
108	273	2237
109	274	2221
110	275	2205
111	276	2188
112	276	2173
113	277	2157
114	278	2141
115	279	2127
116	280	2115
117	286	2139
118	287	2126
119	287	2111
120	288	2098
121	289	2084
122	290	2070
123	291	2057
124	292	2044
125	292	2031
126	296	2035
127	298	2030
128	299	2020
129	299	2007
130	300	1995
131	301	1983
132	302	1971
133	303	1959
134	304	1948
135	304	1937
136	305	1926
137	306	1914
138	307	1904
139	310	1910
140	313	1911
141	314	1901
142	316	1894
143	316	1883
144	317	1873
145	318	1864
146	319	1853
147	320	1844
148	321	1834
149	323	1833
150	325	1832
151	327	1825
152	328	1816
153	329	1808
154	330	1799
155	330	1790
156	331	1781
157	332	1772
158	333	1763
159	334	1753
160	334	1743
161	335	1734
162	336	1725
163	344	1753
164	345	1749
165	346	1741
166	347	1733
167	348	1726
168	349	1718
169	350	1709
170	350	1701
171	351	1693
172	356	1704
173	358	1699
174	358	1691
175	359	1683
176	360	1676
177	361	1668
178	362	1661
179	362	1653
180	363	1645
181	364	1638
182	365	1630
183	366	1623
184	367	1618
185	372	1631
186	375	1633
187	376	1626
188	377	1621
189	378	1614
190	379	1607
191	380	1600
192	381	1593
193	382	1589
194	383	1584
195	385	1580
196	386	1576
197	387	1571
198	388	1564
199	389	1558
200	390	1551
201	391	1545
202	392	1539
203	392	1533
